trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
21,0,21,0,42.2071313,43.2059163,43.2059163,43.2059163,43.5055394,0,down,0,0.4073064,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
22,0,22,0,43.6402895,44.6242051,44.6242051,44.6391428,44.939135,-4,down,1,0.6581837,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
23,0,23,0,45.307148,46.3061552,46.3061552,46.3061552,46.6059833,-3,down,1,0.6241896,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
24,0,24,0,46.9570391,47.9558536,47.9558536,47.9558536,48.2559077,0,down,0,0.485203,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
25,0,25,0,48.4738032,49.4722913,49.4722913,49.4722913,49.7723388,0,down,0,0.551541,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
26,0,26,0,50.0570564,51.0554596,51.0554596,51.0554596,51.3555495,0,up,1,0.7979985,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
27,0,27,0,51.8736942,52.8722642,52.8722642,52.8722642,53.1720786,0,up,1,0.4342018,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
28,0,28,0,53.3401737,54.3389051,54.3389051,54.3389051,54.6389387,0,up,1,0.4204786,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
29,0,29,0,54.7902872,55.7889928,55.7889928,55.7889928,56.0886321,2,down,1,0.7447409,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
30,0,30,0,56.5567974,57.555233,57.555233,57.555233,57.8552562,0,up,1,0.4256665,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
31,0,31,0,58.0065601,59.0053321,59.0053321,59.0053321,59.3050814,0,up,1,0.7197156,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
32,0,32,0,59.7565683,60.7550712,60.7550712,60.7550712,61.0553918,3,down,1,0.5786633,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
33,0,33,0,61.3566261,62.3549887,62.3549887,62.3549887,62.6551699,-2,up,0,0.7624154,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
34,0,34,0,63.1398121,64.1385243,64.1385243,64.1385243,64.4385393,3,down,1,0.627355,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
35,0,35,0,64.789768,65.7882141,65.7882141,65.7882141,66.087952,-2,down,1,0.4306128,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
36,0,36,0,66.2396545,67.2379801,67.2379801,67.2379801,67.5379306,0,down,0,0.4040508,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
37,0,37,0,67.6731445,68.6716536,68.6716536,68.6716536,68.9716666,0,up,1,0.7901434,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
38,0,38,0,69.4896453,70.4881801,70.4881801,70.4881801,70.788118,-5,down,1,0.6504561,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
39,0,39,0,71.1564593,72.1548427,72.1548427,72.1548427,72.4546592,0,up,1,0.7323628,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
40,0,40,0,72.9066954,73.9047436,73.9047436,73.9047436,74.2043212,-4,down,1,0.6615896,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
41,0,41,0,74.5889159,75.5878956,75.5878956,75.5878956,75.8879692,0,up,1,0.6167896,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
42,0,42,0,76.2225863,77.2211109,77.2211109,77.2211109,77.5213354,4,down,1,0.5013495,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
43,0,43,0,77.7557383,78.7544792,78.7544792,78.7544792,79.0543717,-5,down,1,0.8477628,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
44,0,44,0,79.6220578,80.6208206,80.6208206,80.6208206,80.9210584,0,up,1,0.5547364,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
45,0,45,0,81.2056072,82.2045118,82.2045118,82.2045118,82.504008,0,up,1,0.554,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
46,0,46,0,82.7887346,83.787538,83.787538,83.787538,84.0876354,-2,up,0,0.4842784,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
47,0,47,0,84.3053637,85.3040738,85.3040738,85.3040738,85.604276,0,up,1,0.8219256,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
48,0,48,0,86.155333,87.1540321,87.1540321,87.1540321,87.4539198,0,up,1,0.564956,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
49,0,49,0,87.738437,88.7374279,88.7374279,88.7374279,89.0372656,4,down,1,0.6166674,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
50,0,50,0,89.3720899,90.3708328,90.3708328,90.3708328,90.6706125,-5,down,1,0.63482,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
51,0,51,0,91.0383104,92.0372826,92.0372826,92.0372826,92.3372528,-5,down,1,0.5979462,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
52,0,52,0,92.6560839,93.6534128,93.6534128,93.6534128,93.953658,0,up,1,0.6647089,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
53,0,53,0,94.3407355,95.3385083,95.3385083,95.3535035,95.6536018,-4,down,1,0.6581549,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
54,0,54,0,96.0216315,97.0200996,97.0200996,97.0200996,97.3199234,0,up,1,0.685317,None,347197,1,2023-09-08_11h59.00.664,Signal Detection,2023.1.3,59.9688282
